"AGE","ESPAC","ESPECIE","B4_mean","B4_max","B4_min","B4_sd","NDVI_mean","NDVI_max","NDVI_min","NDVI_sd","MSR_mean","MSR_max","MSR_min","MSR_sd"
0,"3.80x2.35","DUNNI",716.473851326111,1078,414,124.697814361058,0.491872058274188,0.67539,0.35799,0.064909915697174,1.72708323496451,2.27185,1.45438,0.158275345802838
0,"3.80x2.35","SALIGNA",932.482120051085,1078,163,112.319269096868,0.438261749680715,0.67098,0.35725,0.0571380115540329,1.6083570945083,2.25358,1.45315,0.122222471873947
0,"3.90x2.32","SALIGNA",790.173557937723,1078,279,144.01871737802,0.495315216947422,0.85068,0.35762,0.106932981931017,1.76301099540582,3.52055,1.45377,0.289359701101116
0,"3X2.2","SALIGNA",663.734192037471,1079,144,338.400413183098,0.642132896174863,0.92262,0.40487,0.177398649158019,2.60538216237315,4.98459,1.53642,1.22566783430667
0,"3X2.25","SALIGNA",793.357654984857,1079,116,170.030919297305,0.562810566166018,0.86908,0.35744,0.0950579850307144,1.93583604796341,3.77848,1.45346,0.301893024911541
0,"4.00x1.50","SALIGNA",209.199831207802,737,99.5,55.4526306574314,0.87532581207802,0.942,0.50725,0.0371614993445719,3.99515695611403,5.78629,1.74895,0.572171502088945
0,"4.00x2.00","SALIGNA",294.711425147309,1079,100,268.66217608778,0.821686549485669,0.94206,0.35729,0.168444889902931,3.9211656196944,5.78952,1.45322,1.14793328533994
0,"4.00x2.00","UROPHYLLA",794.084225900682,1077,366.5,167.001388195779,0.511044975657254,0.82458,0.35744,0.11771479654325,1.82217371957157,3.22507,1.45346,0.379751479253107
0,"4.54X1.6","GLOBULUS X UROPHYLLA",361.281784708685,1079,104,316.323263615778,0.773834466103531,0.9074,0.35738,0.172435220230737,3.28590027831926,4.53856,1.45336,0.927668997753358
0,"4.54X1.6","SALIGNA",542.910859555438,1079,100,329.365828580434,0.658013380996513,0.93844,0.35723,0.198917832547444,2.7159681261309,5.6116,1.45311,1.19781962174836
0,"4.54X1.6","UROPHYLLA",767.068654888928,1078,99.5,236.776981411495,0.535208583172993,0.92456,0.35726,0.124864307298825,1.94109517754067,5.05072,1.45315,0.651298312738451
0,"4.5X1.7","GLOBULUS X UROPHYLLA",520.447785675232,1078,118,330.844852028105,0.693268819026791,0.90691,0.35743,0.173526056711396,2.73300636686714,4.52607,1.45345,0.949510609232699
0,"4.5X1.7","SALIGNA",569.617268830374,1078,108,391.717515571523,0.643476509491733,0.94233,0.35726,0.256996929403321,3.07835187997551,5.80332,1.45315,1.70249615092219
0,"4X1.7","SALIGNA",572.139510992398,1078,104,285.247479016471,0.591735931785494,0.92739,0.35726,0.181977540941628,2.2859469899322,5.15223,1.45316,0.979982755821909
0,"4X1.85","BENTHAMII",816.67626146789,1078,101,250.881097160347,0.543449798165138,0.94194,0.35745,0.144064491617762,2.09816700688073,5.78329,1.45348,1.06645584192423
0,"4X1.85","GLOBULUS X UROPHYLLA",394.074864013742,1079,101,311.116028488463,0.735878605782994,0.94243,0.35723,0.21106013712452,3.46449556255368,5.80873,1.45311,1.56483427427008
0,"4X1.85","SALIGNA",666.713655302642,1079,100,296.445604439889,0.587060202582049,0.93742,0.35723,0.179011639098065,2.29720685536011,5.56417,1.45311,1.064201604131
0,"4X1.85","UROPHYLLA X GRANDIS",619.54539679851,1078,168,228.113789209066,0.614284250021174,0.91002,0.35726,0.138664012455859,2.19114536630812,4.60719,1.45316,0.593856003588541
0,"4X1.85","UROPHYLLA X MAIDENII",741.386557132188,1078,362,153.86189071606,0.488491932785661,0.78388,0.35723,0.111300064867307,1.75526675130695,2.87297,1.45311,0.326709132682019
0,"5.00x1.80","UROPHYLLA",481.015184381779,1054,356,93.3314077420202,0.744128091106291,0.82289,0.41655,0.0595920791118244,2.65251429501085,3.20814,1.55817,0.270298103286369
