alunos,genero,idade,escolaridade,ocupacao,interesse_no_curso,experi?ncia_pecuaria,tempo_trabalha_pecuaria,familiarizado_com_Inseminacao,inseminou,simulador,questao_1,questao_2,questao_3,questao_4,questao_5,questao_6,questao_7,questao_8,questao_9,questao_10,questao_11,questao_12,questao_13,questao_14,questao_15,questao_16,questao_17,questao_18,questao_19,questao_20,questao_21,questao_22,questao_23,questao_24,questao_25,questao_26,questao_27,questao_28,questao_29,questao_30,questao_31,questao_32,questao_33,questao_34,questao_35,questao_36,questao_37,questao_38,questao_39,questao_40,questao_41,questao_42,questao_43,questao_44,questao_45,questao_46,questao_47,questao_48,questao_49,questao_50,questao_51,questao_52,questao_53,questao_54,questao_55
A29,2,54,PU,produtor_rural,aprender,1,20,1,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,dificuldade_identica,2,2,2,2,2,GP_2,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,1,2,2,2,manequim,2,2,2,2,2,2,2,2,2,1,1,1,5
A30,2,17,PU,estudante,aperfeicoar,0,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,mais_dificil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,2,2,2,4,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A31,1,30,U,produtor_rural,uso_proprio ,0,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,mais_dificil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,pecas,2,2,2,2,5,pecas,0,2,2,2,2,2,2,2,2,2,2,1,4
A32,2,18,PU,estudante,aprender,1,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,dificuldade_identica,2,2,2,2,2,GP_1,2,2,2,2,2,2,0,2,2,2,2,manequim,pecas,2,2,2,2,4,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A33,1,21,U,autonomo ,aperfeicoar,1,3,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,dificuldade_identica,2,2,2,2,2,GP_2,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,2,2,2,5,manequim,2,2,2,2,2,2,2,2,2,2,2,1,5
A34,1,20,PU,vaqueiro,aprender,1,6,1,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,mais_dificil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,1,0,2,2,manequim,2,2,2,2,2,2,2,2,2,2,2,1,5
A35,1,34,PU,servidor,uso_proprio ,0,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,dificuldade_identica,2,2,2,2,2,GP_1,2,2,2,2,2,0,0,2,2,2,2,manequim,sem_opniao,2,2,2,2,4,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A36,1,17,PU,estudante,aprender,1,NA,1,1,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,mais_facil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,pecas,2,2,2,2,4,pecas,2,2,2,2,2,2,2,2,2,2,2,1,5
A37,1,32,U,empresario,aprender,0,NA,0,0,com,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,ainda_encontrou_dificuldades,mais_facil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,1,0,2,2,manequim,2,2,2,2,2,2,2,2,2,2,2,1,1
A38,1,18,PU,pecuaria ,aprender,1,10,1,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,dificuldade_identica,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,2,2,2,4,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A39,1,24,U,desempregado,aprender,0,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,mais_dificil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,2,2,2,4,manequim,2,2,2,2,2,2,2,2,2,2,2,1,5
A40,1,18,PU,desempregado,aprender,0,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,dificuldade_identica,2,2,2,2,2,GP_2,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,1,0,2,2,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A41,2,17,PU,estudante,aprender,0,NA,1,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,mais_dificil_que_peca,2,2,2,2,2,GP_2,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,2,2,2,3,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A42,1,43,PU,autonomo ,aperfeicoar,1,7,0,0,com,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,teve_alguma_dificuldade,mais_dificil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,0,2,manequim,manequim,2,2,2,2,4,pecas,2,2,2,2,2,2,2,2,2,2,2,1,1
A43,1,27,U,autonomo ,aperfeicoar,1,15,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,dificuldade_identica,1,2,2,2,2,GP_2,2,2,2,0,2,0,2,0,0,2,2,manequim,manequim,2,1,1,2,1,manequim,2,2,2,2,2,2,2,2,2,2,2,1,5
A44,1,25,U,vaqueiro,aprender,1,10,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,dificuldade_identica,2,2,2,2,2,GP_2,2,2,2,2,2,2,2,2,2,2,2,manequim,pecas,2,1,2,2,4,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A45,1,24,U,pecuaria,melhorar_genetica,1,8,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,mais_dificil_que_peca,2,2,2,2,2,GP_1,0,2,2,2,0,1,0,2,2,0,2,sem_opniao,sem_opniao,2,2,1,2,4,sem_opniao,2,2,2,2,2,2,2,2,2,2,2,1,4
A46,2,31,U,zootecnista,aprender,1,9,1,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,dificuldade_identica,2,2,2,2,2,GP_2,0,2,0,1,2,0,0,2,2,2,2,manequim,manequim,2,0,0,0,3,manequim,1,2,2,2,2,2,2,2,2,2,2,1,3
A47,1,26,PU,vaqueiro,aprender,1,3,1,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,outro,dificuldade_identica,2,2,2,2,2,GP_2,2,2,0,2,2,2,2,2,2,2,2,manequim,sem_opniao,2,2,2,2,4,sem_opniao,4,2,2,2,2,2,2,2,2,2,2,1,5
A48,1,23,U,vaqueiro,aprender,1,2,1,0,com,2,2,2,2,1,1,1,N,N,1,1,1,1,N,N,teve_alguma_dificuldade,dificuldade_identica,2,2,2,2,2,GP_2,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,0,0,2,2,manequim,5,2,2,2,2,2,2,2,2,2,2,1,5
A49,2,39,U,produtor_rural,aprender,1,1,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,dificuldade_identica,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,2,2,2,5,manequim,5,2,2,2,2,2,2,2,2,2,2,1,3
A50,2,23,PU,produtor_rural,uso_proprio ,0,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,dificuldade_identica,1,1,1,1,1,GP_2,1,1,1,1,1,1,1,1,1,1,1,manequim,manequim,2,1,1,2,4,sem_opniao,1,2,2,1,0,0,0,0,2,2,2,1,4
A51,2,23,PU,autonomo ,uso_proprio ,0,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,dificuldade_identica,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,1,2,2,2,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A52,1,17,PU,estudante,aprender,1,8,1,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,dificuldade_identica,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,pecas,manequim,0,2,1,2,4,manequim,2,2,2,2,2,2,2,2,2,2,2,1,2
A53,1,18,PU,estudante,aprender,1,4,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,achou_facil_identificar_estruturas,mais_dificil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,2,2,2,4,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A54,1,37,PU,vaqueiro,aprender,0,20,1,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,mais_dificil_que_peca,2,2,2,2,2,GP_2,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,1,2,2,4,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A55,1,31,U,Auxiliar administrativo,aprender,1,2,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,mais_dificil_que_peca,2,2,2,2,2,GP_2,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,2,2,2,4,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A56,1,18,PU,produtor_rural,aprender,1,10,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,mais_dificil_que_peca,2,2,2,2,2,GP_1,2,2,0,0,0,2,2,2,2,2,2,manequim,manequim,2,2,2,2,4,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A57,1,20,PU,desempregado,aperfeicoar,1,10,1,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,mais_dificil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,2,2,2,5,manequim,2,2,2,2,2,2,2,2,2,2,2,1,5
A58,1,19,PU,autonomo ,aprender,1,1,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,mais_dificil_que_peca,2,2,2,2,2,GP_2,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,0,0,2,2,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A59,1,18,PU,desempregado,aprender,0,NA,1,0,com,2,2,2,1,2,2,2,1,0,2,2,2,1,2,2,teve_alguma_dificuldade,mais_dificil_que_peca,2,2,2,2,2,GP_1,1,0,1,4,0,0,0,1,1,0,2,manequim,pecas,2,1,1,0,3,manequim,2,2,2,2,1,1,1,1,2,2,2,1,2
A60,1,36,PU,vaqueiro,aprender,1,1,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,dificuldade_identica,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,2,2,2,5,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A61,2,20,U,desempregado,aprender,0,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,mais_dificil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,0,2,2,3,manequim,2,2,2,2,2,2,2,2,2,2,2,1,3
A62,2,23,PU,autonomo ,aprender,0,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,mais_dificil_que_peca,2,2,2,2,2,GP_2,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,0,0,2,4,pecas,2,2,2,2,2,2,2,2,2,2,2,1,4
A63,2,18,PU,desempregado,aprender,0,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,teve_alguma_dificuldade,mais_dificil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,2,0,2,5,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A64,1,51,U,autonomo ,aprender,0,NA,0,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,dificuldade_identica,2,2,2,2,2,GP_2,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,1,0,2,2,manequim,2,2,2,2,2,2,2,2,2,2,2,1,4
A65,1,28,PU,autonomo ,aprender,1,5,1,0,com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,achou_facil_identificar_estruturas,mais_dificil_que_peca,2,2,2,2,2,GP_1,2,2,2,2,2,2,2,2,2,2,2,manequim,manequim,2,1,2,2,2,manequim,2,2,2,2,2,2,2,2,2,2,2,1,5
