ID,Genero,Idade,Escolaridade,Ocupacao,Interesse _no_curso,experiencia_pecuaria,tempo_trabalha_pecuaria,familiarizado_com_Inseminacao,inseminou,simulador,Gps,questao_1,questao_2,questao_3,questao_4,questao_5,questao_6,questao_7,questao_8,questao_9,questao_10,questao_11,questao_12,questao_13,questao_14,questao_15,questao_16,questao_17,questao_18,questao_19,questao_20,questao_21,questao_22,,questao_24,questao_25,questao_26,questao_27,questao_28,questao_29,questao_30,questao_31,questao_32,questao_33,questao_34,questao_35,questao_36,questao_37,questao_38,questao_39,questao_40,questao_41,questao_42,questao_43,questao_44,questao_45,questao_46,questao_47,questao_48,questao_49,questao_50,questao_51,questao_52,questao_53,questao_54,questao_55
A27,1,42,Ensino_Superior_Completo,Autônomo,aperfeicoar,0,NA,0,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,peças,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,5,5,5,1,3
A28,2,23,Ensino_medio_completo,Estudante,aprender,0,NA,1,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,mais_facil_que_peca,P,P,P,P,P,,P,P,P,P,P,P,P,P,NT,P,P,sem_opnião,sem_opnião,P,P,P,P,P,sem_opnião,P,P,P,P,P,P,P,NT,4,4,4,1,4
A29,2,54,Ensino_médio_incompleto ,Dona de casa,aprender,1,20,1,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,NG,P,P,NG,manequim,P,P,P,P,P,P,P,P,4,2,2,1,5
A30,2,17,Ensino_medio_completo,Estudante,aperfeicoar,0,NA,0,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,mais_dificil_que_peça,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,5,5,5,1,4
A31,1,30,Ensino_Superior_Incompleto,Produtor_rural,uso_proprio ,0,NA,0,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,mais_dificil_que_peça,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,peças,P,P,P,P,P,peças,NT,P,P,P,P,P,P,P,5,5,5,1,4
A32,2,18,Ensino_medio_completo,Estudante,aprender,1,NA,0,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,NT,P,P,P,P,manequim,peças,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,5,5,5,1,4
A33,1,21,Ensino_Superior_Completo,Assistente_administrativo,aperfeicoar,1,3,0,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,5,5,5,1,5
A34,1,20,Ensino_medio_completo,Vaqueiro ,aprender,1,6,1,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,mais_dificil_que_peça,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,NG,NT,P,NG,manequim,P,P,P,P,P,P,P,P,5,4,5,1,5
A35,1,34,Ensino_medio_completo,Funcionário_público.,uso_proprio ,0,NA,0,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,NT,NT,P,P,P,P,manequim,sem_opnião,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,5,5,5,1,4
A36,1,17,Ensino_medio_completo,Estudante,aprender,1,NA,1,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,mais_facil_que_peca,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,peças,P,P,P,P,P,peças,P,P,P,P,P,P,P,P,5,5,5,1,5
A37,1,32,Pós_Graduado,Empresário,aprender,0,NA,0,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,NT,P,P,P,P,P,P,P,ainda_encontrou_dificuldades,mais_facil_que_peca,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,NG,NT,P,NG,manequim,P,P,P,P,P,P,P,P,5,5,5,1,1
A38,1,18,Ensino_medio_completo,Produtor_rural,aprender,1,10,1,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,5,5,5,1,4
A39,1,24,Ensino_Superior_Completo,Desempregado,aprender,0,NA,0,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,mais_dificil_que_peça,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,5,5,5,1,5
