data;mes;periodo;ninho;area;classe;montes;olheiro escavação
11/11/2019;Novembro;Chuvoso;10;15.58;4;1;9
11/11/2019;Novembro;Chuvoso;11;7.71;3;1;2
12/11/2019;Novembro;Chuvoso;13;7.83;3;1;6
12/11/2019;Novembro;Chuvoso;15;61.45;6;3;26
12/11/2019;Novembro;Chuvoso;16;25.74;5;2;0
13/11/2019;Novembro;Chuvoso;16;25.74;5;2;0
12/11/2019;Novembro;Chuvoso;17;33.15;5;3;26
12/11/2019;Novembro;Chuvoso;32;80.37;7;3;32
12/11/2019;Novembro;Chuvoso;18;16.64;4;1;24
12/11/2019;Novembro;Chuvoso;19;27.56;5;3;36
12/11/2019;Novembro;Chuvoso;20;41.64;6;2;37
12/11/2019;Novembro;Chuvoso;21;4.56;3;1;0
12/11/2019;Novembro;Chuvoso;22;9.92;4;2;4
12/11/2019;Novembro;Chuvoso;23;67.28;6;1;11
12/11/2019;Novembro;Chuvoso;24;36.72;6;3;14
12/11/2019;Novembro;Chuvoso;25;3.52;3;1;0
12/11/2019;Novembro;Chuvoso;26;10.35;4;4;1
12/11/2019;Novembro;Chuvoso;28;46.40;6;2;21
12/11/2019;Novembro;Chuvoso;64;0.14;1;1;1
12/11/2019;Novembro;Chuvoso;65;0.19;1;1;1
12/11/2019;Novembro;Chuvoso;27;18.13;4;1;4
12/11/2019;Novembro;Chuvoso;30;5.32;3;1;2
12/11/2019;Novembro;Chuvoso;31;7.44;3;1;2
13/11/2019;Novembro;Chuvoso;41;1.47;2;1;3
13/11/2019;Novembro;Chuvoso;40;1.96;2;1;0
13/11/2019;Novembro;Chuvoso;42;70.50;6;1;6
13/11/2019;Novembro;Chuvoso;54;42.84;6;2;27
13/11/2019;Novembro;Chuvoso;43;48.02;6;3;10
13/11/2019;Novembro;Chuvoso;46;87.88;7;3;37
13/11/2019;Novembro;Chuvoso;45;2.99;2;1;2
13/11/2019;Novembro;Chuvoso;55;0.86;1;1;1
13/11/2019;Novembro;Chuvoso;47;45.76;6;2;14
13/11/2019;Novembro;Chuvoso;48;99.72;7;4;75
13/11/2019;Novembro;Chuvoso;58;0.63;1;1;1
13/11/2019;Novembro;Chuvoso;57;0.20;1;1;0
13/11/2019;Novembro;Chuvoso;50;2.97;2;2;1
13/11/2019;Novembro;Chuvoso;49;4.25;3;1;4
13/11/2019;Novembro;Chuvoso;51;10.78;4;2;12
13/11/2019;Novembro;Chuvoso;52;6.21;3;1;8
13/11/2019;Novembro;Chuvoso;53;23.79;5;2;3
16/12/2019;Dezembro;Chuvoso;39;13.37;4;1;9
16/12/2019;Dezembro;Chuvoso;6;89.43;7;3;3
16/12/2019;Dezembro;Chuvoso;5;22.36;5;1;0
16/12/2019;Dezembro;Chuvoso;3;11.70;4;1;0
16/12/2019;Dezembro;Chuvoso;38;58.77;6;1;56
16/12/2019;Dezembro;Chuvoso;37;62.40;6;1;19
16/12/2019;Dezembro;Chuvoso;36;11.16;4;1;0
16/12/2019;Dezembro;Chuvoso;35;25.65;5;2;13
16/12/2019;Dezembro;Chuvoso;34;3.66;3;1;0
16/12/2019;Dezembro;Chuvoso;60;1.44;2;1;1
16/12/2019;Dezembro;Chuvoso;61;0.90;1;1;0
16/12/2019;Dezembro;Chuvoso;33;77.22;7;1;7
16/12/2019;Dezembro;Chuvoso;62;2.41;2;3;0
16/12/2019;Dezembro;Chuvoso;10;37.26;6;2;16
17/12/2019;Dezembro;Chuvoso;10;37.26;6;2;16
16/12/2019;Dezembro;Chuvoso;11;7.71;3;1;0
16/12/2019;Dezembro;Chuvoso;12;16.17;4;1;0
16/12/2019;Dezembro;Chuvoso;16;36.10;6;1;2
16/12/2019;Dezembro;Chuvoso;17;35.50;5;1;24
17/12/2019;Dezembro;Chuvoso;9;26.10;5;1;0
17/12/2019;Dezembro;Chuvoso;8;43.41;6;1;21
18/12/2019;Dezembro;Chuvoso;8;43.41;6;1;21
17/12/2019;Dezembro;Chuvoso;18;21.67;5;1;22
17/12/2019;Dezembro;Chuvoso;19;44.28;6;3;43
17/12/2019;Dezembro;Chuvoso;21;4.56;3;1;2
17/12/2019;Dezembro;Chuvoso;23;67.28;6;1;46
17/12/2019;Dezembro;Chuvoso;24;39.02;6;3;20
17/12/2019;Dezembro;Chuvoso;27;22.89;5;2;33
17/12/2019;Dezembro;Chuvoso;28;46.40;6;1;2
17/12/2019;Dezembro;Chuvoso;30;5.32;3;1;2
17/12/2019;Dezembro;Chuvoso;31;7.44;3;1;0
18/12/2019;Dezembro;Chuvoso;41;1.47;2;1;0
18/12/2019;Dezembro;Chuvoso;54;42.84;6;1;0
18/12/2019;Dezembro;Chuvoso;45;3.02;3;1;4
18/12/2019;Dezembro;Chuvoso;55;1.54;2;1;2
18/12/2019;Dezembro;Chuvoso;53;23.79;5;1;0
18/12/2019;Dezembro;Chuvoso;47;48.96;6;1;26
18/12/2019;Dezembro;Chuvoso;58;0.63;1;1;0
18/12/2019;Dezembro;Chuvoso;57;0.20;1;1;0
18/12/2019;Dezembro;Chuvoso;50;2.97;2;1;1
18/12/2019;Dezembro;Chuvoso;49;15.96;4;2;4
18/12/2019;Dezembro;Chuvoso;52;25.03;5;3;8
18/12/2019;Dezembro;Chuvoso;51;20.60;5;1;7
20/01/2020;Janeiro;Chuvoso;57;0.20;1;;
20/01/2020;Janeiro;Chuvoso;61;0.90;1;;
20/01/2020;Janeiro;Chuvoso;55;2.16;2;;
20/01/2020;Janeiro;Chuvoso;60;1.74;2;;
20/01/2020;Janeiro;Chuvoso;64;1.07;2;;
20/01/2020;Janeiro;Chuvoso;40;1.96;2;;
20/01/2020;Janeiro;Chuvoso;50;2.97;2;;
20/01/2020;Janeiro;Chuvoso;62;3.05;3;;
20/01/2020;Janeiro;Chuvoso;34;3.66;3;;
20/01/2020;Janeiro;Chuvoso;45;3.48;3;;
20/01/2020;Janeiro;Chuvoso;21;4.56;3;;
20/01/2020;Janeiro;Chuvoso;30;5.32;3;;
20/01/2020;Janeiro;Chuvoso;31;7.44;3;;
20/01/2020;Janeiro;Chuvoso;39;15.63;4;;
20/01/2020;Janeiro;Chuvoso;49;15.96;4;;
20/01/2020;Janeiro;Chuvoso;11;11.73;4;;
20/01/2020;Janeiro;Chuvoso;36;11.16;4;;
20/01/2020;Janeiro;Chuvoso;12;16.17;4;;
20/01/2020;Janeiro;Chuvoso;3;11.70;4;;
20/01/2020;Janeiro;Chuvoso;52;36.04;5;;
20/01/2020;Janeiro;Chuvoso;51;20.60;5;;
20/01/2020;Janeiro;Chuvoso;18;30.75;5;;
20/01/2020;Janeiro;Chuvoso;27;32.60;5;;
20/01/2020;Janeiro;Chuvoso;9;26.10;5;;
20/01/2020;Janeiro;Chuvoso;5;22.36;5;;
20/01/2020;Janeiro;Chuvoso;53;23.79;5;;
20/01/2020;Janeiro;Chuvoso;10;53.20;6;;
20/01/2020;Janeiro;Chuvoso;19;44.28;6;;
20/01/2020;Janeiro;Chuvoso;35;51.74;6;;
20/01/2020;Janeiro;Chuvoso;8;51.19;6;;
20/01/2020;Janeiro;Chuvoso;16;36.10;6;;
20/01/2020;Janeiro;Chuvoso;24;43.66;6;;
20/01/2020;Janeiro;Chuvoso;54;42.84;6;;
20/01/2020;Janeiro;Chuvoso;15;65.45;6;;
20/01/2020;Janeiro;Chuvoso;28;46.40;6;;
20/01/2020;Janeiro;Chuvoso;47;48.96;6;;
20/01/2020;Janeiro;Chuvoso;6;136.29;7;;
20/01/2020;Janeiro;Chuvoso;17;77.51;7;;
20/01/2020;Janeiro;Chuvoso;20;156.74;7;;
20/01/2020;Janeiro;Chuvoso;33;110.50;7;;
20/01/2020;Janeiro;Chuvoso;38;72.80;7;;
20/01/2020;Janeiro;Chuvoso;37;90.16;7;;
20/01/2020;Janeiro;Chuvoso;43;166.11;7;;
20/01/2020;Janeiro;Chuvoso;23;108.60;7;;
20/01/2020;Janeiro;Chuvoso;42;111.18;7;;
20/01/2020;Janeiro;Chuvoso;7;116.28;7;;
20/01/2020;Janeiro;Chuvoso;32;86.02;7;;
20/01/2020;Janeiro;Chuvoso;2;120.40;7;;
20/01/2020;Janeiro;Chuvoso;46;172.05;7;;
20/01/2020;Janeiro;Chuvoso;48;148.50;7;;
27/02/2020;Fevereiro;Chuvoso;40;1.96;2;;
27/02/2020;Fevereiro;Chuvoso;41;1.47;2;;
27/02/2020;Fevereiro;Chuvoso;55;2.20;2;;
27/02/2020;Fevereiro;Chuvoso;60;1.89;2;;
27/02/2020;Fevereiro;Chuvoso;61;1.53;2;;
27/02/2020;Fevereiro;Chuvoso;64;1.07;2;;
27/02/2020;Fevereiro;Chuvoso;34;3.66;3;;
27/02/2020;Fevereiro;Chuvoso;45;3.48;3;;
27/02/2020;Fevereiro;Chuvoso;62;3.39;3;;
27/02/2020;Fevereiro;Chuvoso;3;12.35;4;;
27/02/2020;Fevereiro;Chuvoso;11;11.73;4;;
27/02/2020;Fevereiro;Chuvoso;12;16.17;4;;
27/02/2020;Fevereiro;Chuvoso;31;9.15;4;;
27/02/2020;Fevereiro;Chuvoso;36;11.16;4;;
27/02/2020;Fevereiro;Chuvoso;39;15.63;4;;
27/02/2020;Fevereiro;Chuvoso;50;15.30;4;;
27/02/2020;Fevereiro;Chuvoso;5;26.16;5;;
27/02/2020;Fevereiro;Chuvoso;49;33.53;5;;
27/02/2020;Fevereiro;Chuvoso;51;32.64;5;;
27/02/2020;Fevereiro;Chuvoso;53;24.14;5;;
27/02/2020;Fevereiro;Chuvoso;9;45.23;6;;
27/02/2020;Fevereiro;Chuvoso;10;53.20;6;;
27/02/2020;Fevereiro;Chuvoso;16;56.17;6;;
27/02/2020;Fevereiro;Chuvoso;24;72.18;6;;
27/02/2020;Fevereiro;Chuvoso;28;47.04;6;;
27/02/2020;Fevereiro;Chuvoso;30;55.56;6;;
27/02/2020;Fevereiro;Chuvoso;35;62.10;6;;
27/02/2020;Fevereiro;Chuvoso;52;36.04;6;;
27/02/2020;Fevereiro;Chuvoso;54;42.84;6;;
27/02/2020;Fevereiro;Chuvoso;2;120.40;7;;
27/02/2020;Fevereiro;Chuvoso;6;136.29;7;;
27/02/2020;Fevereiro;Chuvoso;7;170.55;7;;
27/02/2020;Fevereiro;Chuvoso;8;150.96;7;;
27/02/2020;Fevereiro;Chuvoso;15;118.08;7;;
27/02/2020;Fevereiro;Chuvoso;17;135.31;7;;
27/02/2020;Fevereiro;Chuvoso;18;109.08;7;;
27/02/2020;Fevereiro;Chuvoso;19;121.98;7;;
27/02/2020;Fevereiro;Chuvoso;20;194.36;7;;
27/02/2020;Fevereiro;Chuvoso;21;78.12;7;;
27/02/2020;Fevereiro;Chuvoso;23;179.89;7;;
27/02/2020;Fevereiro;Chuvoso;27;99.08;7;;
27/02/2020;Fevereiro;Chuvoso;29;108.45;7;;
27/02/2020;Fevereiro;Chuvoso;32;183.54;7;;
27/02/2020;Fevereiro;Chuvoso;33;166.14;7;;
27/02/2020;Fevereiro;Chuvoso;37;90.16;7;;
27/02/2020;Fevereiro;Chuvoso;38;119.14;7;;
27/02/2020;Fevereiro;Chuvoso;42;111.18;7;;
27/02/2020;Fevereiro;Chuvoso;43;166.11;7;;
27/02/2020;Fevereiro;Chuvoso;46;282.17;7;;
27/02/2020;Fevereiro;Chuvoso;47;87.30;7;;
27/02/2020;Fevereiro;Chuvoso;48;198.09;7;;
16/03/2020;Março;Chuvoso;2;120.40;7;;
16/03/2020;Março;Chuvoso;3;12.35;4;;
16/03/2020;Março;Chuvoso;5;26.16;5;1;7
16/03/2020;Março;Chuvoso;6;136.29;7;;
16/03/2020;Março;Chuvoso;7;170.55;7;;
16/03/2020;Março;Chuvoso;8;150.96;7;;
16/03/2020;Março;Chuvoso;9;45.23;6;1;0
16/03/2020;Março;Chuvoso;10;57.95;6;3;24
16/03/2020;Março;Chuvoso;11;11.73;4;1;0
16/03/2020;Março;Chuvoso;12;16.17;4;1;0
16/03/2020;Março;Chuvoso;15;118.08;7;3;15
16/03/2020;Março;Chuvoso;16;56.17;6;1;6
16/03/2020;Março;Chuvoso;17;141.63;7;3;54
16/03/2020;Março;Chuvoso;18;109.08;7;1;6
16/03/2020;Março;Chuvoso;19;121.39;7;2;31
16/03/2020;Março;Chuvoso;20;194.39;7;;
17/03/2020;Março;Chuvoso;21;78.12;7;4;16
17/03/2020;Março;Chuvoso;23;179.89;7;3;47
16/03/2020;Março;Chuvoso;27;99.08;7;;
16/03/2020;Março;Chuvoso;28;47.04;6;;
16/03/2020;Março;Chuvoso;31;9.15;4;1;0
16/03/2020;Março;Chuvoso;32;183.54;7;;
16/03/2020;Março;Chuvoso;33;168.06;7;;
16/03/2020;Março;Chuvoso;34;3.66;3;1;0
16/03/2020;Março;Chuvoso;35;79.09;7;3;35
16/03/2020;Março;Chuvoso;36;11.16;4;;
16/03/2020;Março;Chuvoso;37;134.55;7;1;24
16/03/2020;Março;Chuvoso;38;119.14;7;1;36
16/03/2020;Março;Chuvoso;39;27.72;5;2;20
18/03/2020;Março;Chuvoso;40;1.96;2;1;0
16/03/2020;Março;Chuvoso;42;111.18;7;;
16/03/2020;Março;Chuvoso;43;166.11;7;;
18/03/2020;Março;Chuvoso;45;9.28;4;1;12
16/03/2020;Março;Chuvoso;46;282.17;7;;
16/03/2020;Março;Chuvoso;47;87.30;7;;
16/03/2020;Março;Chuvoso;48;198.09;7;;
18/03/2020;Março;Chuvoso;49;60.03;6;2;3
18/03/2020;Março;Chuvoso;50;19.68;5;2;8
18/03/2020;Março;Chuvoso;51;32.64;5;4;21
18/03/2020;Março;Chuvoso;52;99.54;7;2;18
18/03/2020;Março;Chuvoso;53;24.14;5;1;0
16/03/2020;Março;Chuvoso;54;42.84;6;;
18/03/2020;Março;Chuvoso;55;2.20;2;1;1
16/03/2020;Março;Chuvoso;60;2.64;2;1;0
16/03/2020;Março;Chuvoso;61;2.46;2;1;0
16/03/2020;Março;Chuvoso;62;3.39;3;1;1
17/03/2020;Março;Chuvoso;64;1.07;2;1;9
01/06/2020;Junho;Seco;55;13.48;4;;
01/06/2020;Junho;Seco;60;2.85;2;;
01/06/2020;Junho;Seco;61;7.69;3;;
01/06/2020;Junho;Seco;64;1.07;1;;
01/06/2020;Junho;Seco;34;14.86;4;;
01/06/2020;Junho;Seco;62;3.39;3;;
01/06/2020;Junho;Seco;3;12.35;4;;
01/06/2020;Junho;Seco;11;11.73;4;;
01/06/2020;Junho;Seco;12;16.17;4;;
01/06/2020;Junho;Seco;31;9.15;4;;
01/06/2020;Junho;Seco;36;353.72;7;;
01/06/2020;Junho;Seco;45;18.63;5;;
01/06/2020;Junho;Seco;5;43.00;6;;
01/06/2020;Junho;Seco;39;47.74;7;;
01/06/2020;Junho;Seco;50;40.70;7;;
01/06/2020;Junho;Seco;51;173.99;7;;
01/06/2020;Junho;Seco;53;41.87;7;;
01/06/2020;Junho;Seco;9;45.23;6;;
01/06/2020;Junho;Seco;10;61.84;6;;
01/06/2020;Junho;Seco;16;57.60;6;;
01/06/2020;Junho;Seco;28;58.99;7;;
01/06/2020;Junho;Seco;49;160.16;7;;
01/06/2020;Junho;Seco;54;79.68;7;;
18/06/2020;Junho;Seco;BN39;50.25;6;1;4
18/06/2020;Junho;Seco;NJ37;43.52;6;1;30
18/06/2020;Junho;Seco;NJ38;43.52;6;1;0
18/06/2020;Junho;Seco;NJ52;48.98;6;1;30
18/06/2020;Junho;Seco;NJ51;55.20;6;1;34
18/06/2020;Junho;Seco;BN60;3.00;2;1;0
18/06/2020;Junho;Seco;BN63;3.96;3;1;0
18/06/2020;Junho;Seco;NJ50;59.50;6;1;18
18/06/2020;Junho;Seco;NJ54;44.20;6;1;22
18/06/2020;Junho;Seco;NJ53;1.17;2;1;0
18/06/2020;Junho;Seco;NJ55;3.08;3;2;2
18/06/2020;Junho;Seco;NJ64;3.60;3;4;0
21/06/2020;Junho;Seco;NJ58;7.05;3;1;3
21/06/2020;Junho;Seco;NJ59;22.36;5;1;2
21/06/2020;Junho;Seco;NJ60;25.76;5;1;3
21/06/2020;Junho;Seco;NJ61;4.18;3;1;0
21/06/2020;Junho;Seco;NJ26;1.17;2;1;0
21/06/2020;Junho;Seco;NJ27;2.89;2;1;0
21/06/2020;Junho;Seco;NJ29;15.11;4;2;13
21/06/2020;Junho;Seco;NJ30;1.06;2;1;0
21/06/2020;Junho;Seco;NJ32;29.01;5;1;26
21/06/2020;Junho;Seco;NJ33;2.24;2;1;0
21/06/2020;Junho;Seco;NJ35;29.03;5;1;25
21/06/2020;Junho;Seco;NJ42;16.83;4;2;16
21/06/2020;Junho;Seco;NJ43;6.60;3;1;4
21/06/2020;Junho;Seco;NJ44;9.10;4;2;6
21/06/2020;Junho;Seco;NJ45;9.24;4;1;1
