"STAND","COMPANY","SPACING","SPECIES","AGE","STATS","B2","B3","B4","B8"
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",31.1733611934229,45.6418442059909,55.2162176197686,723.385345994664
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",67,132,89,1473
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",329,541,639,4676
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",104.838992334229,236.942630986654,136.508513816109,3471.30727868566
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",33.7501276547449,48.5799531786977,61.3951130208798,776.386401705933
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",17,74,39,1273
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",310,519,644,4656
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",89.6993779471565,227.253308754997,127.417709750097,3524.16258753731
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",35.2929775444726,51.2724089273302,62.4354173615254,785.39256818703
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",1,47,20,1244
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",289,544,540,4752
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",145.601554786907,258.913498293555,153.176636081826,3285.28429863139
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",30.8993708815649,45.2916949085497,53.5243526596594,784.866351577941
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",51,107,61,1080
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",317,536,495,4440
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",92.5074459932479,239.721355766819,147.034644408083,3378.70725659277
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",35.2695284893482,49.5985403435336,58.2699836966555,816.185282864398
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",1,72,49,1099
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",300,496,510,4620
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",100.656689196808,238.647074188374,148.324302865861,3381.68510617243
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",33.2459046045095,49.1258563392939,53.8389514565946,804.291881597192
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",8,66,43,1048
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",278,532,480,4624
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",160.45660128553,276.252463011674,179.431074795928,3333.34377107167
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",34.4134409611105,49.5144153287619,64.5854883542151,754.668851448433
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",68,112,71,1274
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",359,590,563,4509
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",141.929096792159,283.200466482099,202.398460171818,3308.38135314328
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",35.4872695425565,51.3917089459687,67.0081943462603,735.32177219494
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",59,140,106,1311
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",377,628,645,4425
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",206.909613627629,314.850826987381,209.326781411597,3021.87414188696
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",37.0722764238897,54.0027185046781,72.6028991301251,620.945633392929
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",122,166,111,1239
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",454,690,787,4049
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",175.96685261513,306.721522614141,1259.53197485093,3084.96284252604
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",37.8789687490498,55.4340228722874,93.1458406532683,616.846762820832
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",97,166,981,1310
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",421,714,1499,4081
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",179.01117186655,302.984557992677,212.259574159607,3071.32095326203
