alunos,genero,idade,escolaridade,ocupacao,interesse_no_curso,experiencia_pecuaria,tempo_trabalha_pecuaria,familiarizado_com_Inseminacao,inseminou,simulador,questao_1,questao_2,questao_3,questao_4,questao_5,questao_6,questao_7,questao_8,questao_9,questao_10,questao_11,questao_12,questao_13,questao_14,questao_15,questao_16,questao_17,questao_18,questao_19,questao_20,questao_21,questao_22,questao_23,questao_24,questao_25,questao_26,questao_27,questao_28,questao_29,questao_30,questao_31,questao_32,questao_33,questao_34,questao_35,questao_36,questao_37,questao_38,questao_39,questao_40,questao_41,questao_42,questao_43,questao_44,questao_45,questao_46,questao_47,questao_48,questao_49,questao_50,questao_51,questao_52,questao_53,questao_54,questao_55
a24,masculino,26,superior,autonomo ,aperfeicoar,1,6,0,0,com,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,5,5,5,5,5,primeiro_peça,5,5,5,5,5,5,5,5,5,5,5,peças,peças,5,5,5,5,5,peças,5,5,5,5,5,5,5,5,5,5,5,1,5
a25,masculino,24,ensino_medio,vaqueiro,aprender,1,5,0,0,com,4,4,4,4,5,5,4,4,5,5,4,5,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,4,4,5,5,5,primeiro_simulador,4,4,4,4,4,4,4,4,4,5,4,manequim,manequim,5,2,3,4,2,manequim,4,4,4,4,4,4,4,4,5,5,4,1,4
a26,masculino,31,superior,autonomo ,aprender,1,20,0,0,com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,5,5,4,4,4,primeiro_simulador,4,4,4,4,4,4,4,4,4,4,4,manequim,manequim,4,4,4,4,4,manequim,4,4,4,4,4,4,4,4,4,4,4,1,4
a27,masculino,42,superior,autonomo ,aperfeicoar,0,0,0,0,com,5,5,4,5,4,5,5,4,5,5,4,5,5,5,4,teve_alguma_dificuldade,dificuldade_identica,5,5,5,5,5,primeiro_peça,5,5,4,5,5,4,5,4,4,5,4,manequim,peças,4,5,5,5,5,manequim,5,5,5,4,5,5,5,5,5,5,5,1,3
a28,feminino,23,ensino_medio,estudante,aprender,0,0,1,0,com,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,achou_facil_identificar_estruturas,mais_facil_que_peça,5,5,5,5,5,primeiro_simulador,4,4,4,4,4,4,4,4,3,4,4,sem_opinião,sem_opinião,4,4,4,4,4,sem_opinião,4,4,4,4,4,4,4,3,4,4,4,1,4
a29,feminino,54,ensino_medio_incompleto,produtor_rural,aprender,1,20,1,0,com,4,4,5,5,4,5,5,5,5,5,5,4,5,4,5,achou_facil_identificar_estruturas,dificuldade_identica,5,5,5,5,5,primeiro_peça,4,4,5,5,5,5,5,5,5,4,5,manequim,manequim,4,2,4,4,2,manequim,4,4,4,4,4,4,4,4,4,2,2,1,5
a30,feminino,17,ensino_medio,estudante,aperfeicoar,0,0,0,0,com,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,teve_alguma_dificuldade,mais_dificil_que_peça,5,5,5,5,5,primeiro_simulador,4,4,5,4,4,4,4,5,5,5,5,manequim,manequim,5,4,5,5,4,manequim,5,5,5,4,5,5,5,5,5,5,5,1,4
a31,masculino,30,superior,produtor_rural,uso_proprio ,0,0,0,0,com,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,mais_dificil_que_peça,5,5,5,5,5,primeiro_simulador,4,5,5,4,4,4,5,5,5,4,5,manequim,peças,4,4,5,5,5,peças,3,5,5,4,5,5,5,5,5,5,5,1,4
a32,feminino,18,ensino_medio,estudante,aprender,1,0,0,0,com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,teve_alguma_dificuldade,dificuldade_identica,5,5,5,5,5,primeiro_simulador,5,5,5,4,5,4,3,5,5,4,4,manequim,peças,5,4,4,5,4,manequim,5,5,5,5,5,5,5,5,5,5,5,1,4
a33,masculino,21,superior,autonomo ,aperfeicoar,1,3,0,0,com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,5,5,5,5,5,primeiro_peça,5,5,5,5,5,5,5,5,5,5,5,manequim,manequim,5,5,4,5,5,manequim,5,5,5,5,5,5,5,5,5,5,5,1,5
a34,masculino,20,ensino_medio_incompleto,vaqueiro,aprender,1,6,1,0,com,4,5,4,5,4,5,5,4,4,4,4,5,4,5,4,teve_alguma_dificuldade,mais_dificil_que_peça,4,4,4,4,5,primeiro_simulador,5,4,4,4,4,4,4,4,4,4,4,manequim,manequim,4,1,3,4,2,manequim,4,4,4,4,4,4,4,4,5,4,5,1,5
a35,masculino,34,ensino_medio,servidor,uso_proprio ,0,0,0,0,com,4,5,5,4,4,4,5,4,4,4,4,4,4,5,4,teve_alguma_dificuldade,dificuldade_identica,4,4,5,5,5,primeiro_simulador,4,4,4,4,4,3,3,4,4,4,4,manequim,sem_opinião,4,4,4,4,4,manequim,4,4,4,4,4,4,4,4,5,5,5,1,4
a36,masculino,17,ensino_medio,estudante,aprender,1,0,1,1,com,4,4,4,4,5,4,4,5,4,4,4,4,5,5,5,achou_facil_identificar_estruturas,mais_facil_que_peça,5,5,5,4,5,primeiro_simulador,4,5,5,4,4,4,4,4,4,4,4,manequim,peças,4,4,4,5,4,peças,4,4,4,4,4,4,5,4,5,5,5,1,5
a37,masculino,32,pos_graduado,empresario,aprender,0,0,0,0,com,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,ainda_encontrou_dificuldades,mais_facil_que_peça,5,5,5,5,5,primeiro_simulador,5,5,5,5,5,5,5,5,5,5,5,manequim,manequim,5,2,3,5,2,manequim,5,5,5,5,5,5,5,5,5,5,5,1,1
a38,masculino,18,ensino_medio,pecuaria ,aprender,1,10,1,0,com,5,4,5,5,5,5,4,5,5,4,5,4,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,5,5,5,5,5,primeiro_simulador,4,4,4,4,4,4,4,4,4,4,4,manequim,manequim,4,4,4,4,4,manequim,4,5,5,5,5,5,5,5,5,5,5,1,4
a39,masculino,24,superior,desempregado,aprender,0,0,0,0,com,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,mais_dificil_que_peça,5,5,4,5,5,primeiro_simulador,4,4,5,5,5,4,4,4,4,5,5,manequim,manequim,4,5,4,5,4,manequim,5,5,5,5,5,5,5,5,5,5,5,1,5
a40,masculino,18,ensino_medio,desempregado,aprender,0,0,0,0,com,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,achou_facil_identificar_estruturas,dificuldade_identica,5,5,4,4,4,primeiro_peça,4,4,4,4,4,4,4,4,4,4,4,manequim,manequim,4,2,3,4,2,manequim,4,4,4,4,4,4,4,4,5,5,4,1,4
a41,feminino,17,ensino_medio_incompleto,estudante,aprender,0,0,1,0,com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,mais_dificil_que_peça,4,4,4,5,4,primeiro_peça,4,4,4,4,4,4,4,4,5,4,4,manequim,manequim,5,4,4,4,3,manequim,4,4,4,4,4,4,4,4,5,5,5,1,4
a42,masculino,43,ensino_medio_incompleto,autonomo ,aperfeicoar,1,7,0,0,com,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,teve_alguma_dificuldade,mais_dificil_que_peça,5,5,5,5,5,primeiro_simulador,4,4,4,4,4,4,4,4,4,3,4,manequim,manequim,4,4,4,4,4,peças,4,4,4,4,4,4,4,4,4,4,4,1,1
a43,masculino,27,superior,autonomo ,aperfeicoar,1,15,0,0,com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,2,5,5,5,5,primeiro_peça,5,4,4,3,4,3,4,3,3,4,4,manequim,manequim,5,1,1,5,1,manequim,5,5,5,5,5,5,5,5,5,5,5,1,5
a44,masculino,25,superior,vaqueiro,aprender,1,10,0,0,com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,4,5,5,4,5,primeiro_peça,4,4,4,4,4,4,4,5,4,5,5,manequim,peças,4,2,4,4,4,manequim,4,4,5,5,4,4,5,5,4,5,5,1,4
a45,masculino,24,superior,pecuaria,melhorar_genetica,1,8,0,0,com,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,teve_alguma_dificuldade,mais_dificil_que_peça,4,4,5,4,5,primeiro_simulador,3,4,4,4,3,2,3,5,5,3,4,sem_opinião,sem_opinião,4,4,1,4,4,sem_opinião,4,4,5,5,5,5,5,5,5,5,5,1,4
a46,feminino,31,superior,zootecnista,aprender,1,9,1,0,com,5,5,5,5,5,5,5,4,4,4,5,4,5,4,5,teve_alguma_dificuldade,dificuldade_identica,5,5,5,5,5,primeiro_peça,3,4,3,2,4,3,3,4,4,4,4,manequim,manequim,4,3,3,3,3,manequim,1,4,4,4,4,4,4,4,4,4,4,1,3
a47,masculino,26,ensino_medio,vaqueiro,aprender,1,3,1,0,com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,outro,dificuldade_identica,5,5,5,5,5,primeiro_peça,4,4,3,4,4,4,4,4,4,4,4,manequim,sem_opinião,4,4,4,4,4,sem_opinião,4,4,4,4,4,4,4,4,5,4,4,1,5
a48,masculino,23,superior_incompleto,vaqueiro,aprender,1,2,1,0,com,5,5,5,5,2,2,2,1,2,2,2,2,2,2,2,teve_alguma_dificuldade,dificuldade_identica,5,5,5,5,5,primeiro_peça,5,5,5,5,5,5,5,5,5,5,5,manequim,manequim,4,3,3,5,2,manequim,5,5,5,5,5,5,5,5,5,5,5,1,5
a49,feminino,39,superior,produtor_rural,aprender,1,1,0,0,com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,5,5,5,5,5,primeiro_simulador,5,5,5,5,5,5,5,5,5,5,5,manequim,manequim,5,5,5,5,5,manequim,5,5,5,5,5,5,5,5,5,5,5,1,3
a50,feminino,23,ensino_medio_incompleto,produtor_rural,uso_proprio ,0,0,0,0,com,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,teve_alguma_dificuldade,dificuldade_identica,1,1,1,1,1,primeiro_peça,1,1,1,1,1,1,1,1,1,1,1,manequim,manequim,4,2,2,2,4,sem_opinião,2,4,4,2,3,3,3,3,5,5,5,1,4
a51,feminino,23,ensino_medio,autonomo ,uso_proprio ,0,0,0,0,com,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,4,4,4,4,5,primeiro_simulador,4,4,4,4,4,4,4,4,4,4,4,manequim,manequim,4,2,4,4,2,manequim,4,4,4,4,4,4,4,4,4,4,4,1,4
a52,masculino,17,ensino_medio_incompleto,estudante,aprender,1,8,1,0,com,5,4,5,5,5,5,4,5,5,4,5,4,4,4,4,teve_alguma_dificuldade,dificuldade_identica,4,4,5,5,4,primeiro_simulador,4,5,5,5,4,5,4,5,4,4,5,peças,manequim,3,5,1,5,4,manequim,4,4,5,5,4,4,5,4,4,4,4,1,2
a53,masculino,18,ensino_medio_incompleto,estudante,aprender,1,4,0,0,com,5,5,5,5,4,4,4,4,4,5,5,4,3,5,5,achou_facil_identificar_estruturas,mais_dificil_que_peça,4,4,4,4,4,primeiro_simulador,4,4,4,4,4,4,4,4,4,4,4,manequim,manequim,4,4,4,4,4,manequim,4,4,4,4,4,4,4,4,5,5,5,1,4
a54,masculino,37,ensino_medio_incompleto,vaqueiro,aprender,0,20,1,0,com,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,teve_alguma_dificuldade,mais_dificil_que_peça,4,4,4,4,4,primeiro_peça,4,4,4,4,4,4,4,4,4,4,4,manequim,manequim,4,2,4,4,4,manequim,4,4,4,4,4,4,4,4,4,4,4,1,4
a55,masculino,31,superior_incompleto,Auxiliar administrativo,aprender,1,2,0,0,com,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,achou_facil_identificar_estruturas,mais_dificil_que_peça,4,4,4,4,4,primeiro_peça,4,4,4,4,4,4,4,4,4,4,4,manequim,manequim,4,4,4,4,4,manequim,4,4,4,4,4,4,4,4,4,4,4,1,4
a56,masculino,18,ensino_medio_incompleto,produtor_rural,aprender,1,10,0,0,com,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,teve_alguma_dificuldade,mais_dificil_que_peça,5,5,5,5,5,primeiro_simulador,4,4,3,3,3,4,4,5,4,5,5,manequim,manequim,4,5,5,4,4,manequim,4,5,5,4,4,5,5,5,5,5,5,1,4
a57,masculino,20,ensino_medio,desempregado,aperfeicoar,1,10,1,0,com,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,achou_facil_identificar_estruturas,mais_dificil_que_peça,5,5,5,5,5,primeiro_simulador,5,5,5,5,5,5,5,5,5,5,5,manequim,manequim,5,5,5,5,5,manequim,5,5,5,5,5,5,5,5,5,5,5,1,5
a58,masculino,19,ensino_medio,autonomo ,aprender,1,1,0,0,com,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,teve_alguma_dificuldade,mais_dificil_que_peça,5,5,5,5,5,primeiro_peça,5,4,5,5,5,5,5,5,5,5,5,manequim,manequim,5,3,3,5,2,manequim,5,5,5,5,5,5,5,5,5,5,5,1,4
a59,masculino,18,ensino_medio,desempregado,aprender,0,0,1,0,com,4,4,4,2,4,5,4,2,3,5,4,4,2,4,3,teve_alguma_dificuldade,mais_dificil_que_peça,4,4,4,4,4,primeiro_simulador,2,3,2,4,3,3,3,2,2,3,4,manequim,peças,4,2,1,3,3,manequim,4,4,4,4,2,2,2,2,4,4,5,1,2
a60,masculino,36,ensino_medio,vaqueiro,aprender,1,1,0,0,com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,5,5,5,5,5,primeiro_simulador,5,5,5,5,5,5,5,5,5,5,5,manequim,manequim,5,5,5,5,5,manequim,5,5,5,5,5,5,5,5,5,5,5,1,4
a61,feminino,20,superior_incompleto,desempregado,aprender,0,0,0,0,com,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,achou_facil_identificar_estruturas,mais_dificil_que_peça,5,5,5,5,5,primeiro_simulador,4,4,4,4,4,4,4,4,4,4,4,manequim,manequim,5,3,5,5,3,manequim,5,5,5,5,5,5,5,5,5,5,5,1,3
a62,feminino,23,superior,autonomo ,aprender,0,0,0,0,com,5,5,5,5,5,4,5,4,4,5,5,5,4,5,4,teve_alguma_dificuldade,mais_dificil_que_peça,5,5,5,5,5,primeiro_peça,5,5,5,5,5,5,5,4,4,5,4,manequim,manequim,5,3,3,4,4,peças,4,4,4,5,4,4,4,5,5,5,5,1,4
a63,feminino,18,ensino_medio,desempregado,aprender,0,0,0,0,com,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,teve_alguma_dificuldade,mais_dificil_que_peça,4,5,5,5,5,primeiro_simulador,4,5,4,5,4,5,4,5,4,4,4,manequim,manequim,4,5,3,5,5,manequim,4,5,5,4,4,4,5,5,4,5,5,1,4
a64,masculino,51,superior,autonomo ,aprender,0,0,0,0,com,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,5,5,5,5,5,primeiro_peça,4,4,4,4,5,4,5,4,4,5,5,manequim,manequim,5,2,3,5,2,manequim,4,5,5,4,4,5,4,4,4,5,5,1,4
a65,masculino,28,ensino_medio,autonomo ,aprender,1,5,1,0,com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,mais_dificil_que_peça,5,5,5,5,5,primeiro_simulador,5,4,4,5,4,4,4,4,5,5,5,manequim,manequim,5,2,5,5,2,manequim,5,5,5,5,5,5,5,5,5,5,5,1,5
