"STAND","DATE","STATUS","SAVI_MAX","MSR_SD","GCI_SD"
"RAMOS_003B",2022-02-16,"healthy",0.754646558206026,0.724407872890946,0.937955065287707
"RAMOS_003B",2022-02-26,"healthy",0.754646558206026,0.724407872890946,0.937955065287707
"RAMOS_003B",2022-03-28,"healthy",0.754646558206026,0.724407872890946,0.937955065287707
"RAMOS_003B",2022-06-11,"healthy",0.754646558206026,0.724407872890946,0.937955065287707
"RAMOS_014A",2022-02-11,"healthy",0.669759257817278,0.62395377057775,0.599452064903227
"RAMOS_014A",2022-02-16,"healthy",0.669759257817278,0.62395377057775,0.599452064903227
"RAMOS_014A",2022-02-26,"healthy",0.669759257817278,0.62395377057775,0.599452064903227
"RAMOS_014A",2022-03-28,"healthy",0.669759257817278,0.62395377057775,0.599452064903227
"RAMOS_014A",2022-06-11,"healthy",0.669759257817278,0.62395377057775,0.599452064903227
"RANCHOVELHO_004A",2022-02-11,"healthy",0.597443763713261,0.479708096340372,0.437253774120647
"RANCHOVELHO_004A",2022-02-16,"healthy",0.597443763713261,0.479708096340372,0.437253774120647
"RANCHOVELHO_004A",2022-02-26,"healthy",0.597443763713261,0.479708096340372,0.437253774120647
"RANCHOVELHO_004A",2022-03-28,"healthy",0.597443763713261,0.479708096340372,0.437253774120647
"RANCHOVELHO_004A",2022-06-11,"healthy",0.597443763713261,0.479708096340372,0.437253774120647
"RANCHOVELHOII_001A",2022-02-11,"healthy",0.776784107374969,0.471730706138129,0.791119210382703
"RANCHOVELHOII_001A",2022-02-16,"healthy",0.776784107374969,0.471730706138129,0.791119210382703
"RANCHOVELHOII_001A",2022-02-26,"healthy",0.776784107374969,0.471730706138129,0.791119210382703
"RANCHOVELHOII_001A",2022-03-28,"healthy",0.776784107374969,0.471730706138129,0.791119210382703
"RANCHOVELHOII_001A",2022-06-11,"healthy",0.776784107374969,0.471730706138129,0.791119210382703
"RINCAOBONITO_005C",2022-02-11,"healthy",0.572609326574154,0.281869179131986,0.0669311554010058
"RINCAOBONITO_005C",2022-02-16,"healthy",0.572609326574154,0.281869179131986,0.0669311554010058
"RINCAOBONITO_005C",2022-02-26,"healthy",0.572609326574154,0.281869179131986,0.0669311554010058
"RINCAOBONITO_005C",2022-03-28,"healthy",0.572609326574154,0.281869179131986,0.0669311554010058
"RINCAOBONITO_011A",2022-02-11,"healthy",0.566488416610175,0.337492464267782,0.0659175539932754
"RINCAOBONITO_011A",2022-02-16,"healthy",0.566488416610175,0.337492464267782,0.0659175539932754
"RINCAOBONITO_011A",2022-02-26,"healthy",0.566488416610175,0.337492464267782,0.0659175539932754
"RINCAOBONITO_011A",2022-03-28,"healthy",0.566488416610175,0.337492464267782,0.0659175539932754
"RINCAODOSSOARES_004A",2022-02-11,"bronze_bug",0.597189090962064,0.224713456509494,0.0488590586238287
"RINCAODOSSOARES_004A",2022-02-14,"bronze_bug",0.597189090962064,0.224713456509494,0.0488590586238287
"RINCAODOSSOARES_004A",2022-02-16,"bronze_bug",0.597189090962064,0.224713456509494,0.0488590586238287
"RINCAODOSSOARES_004A",2022-02-19,"bronze_bug",0.597189090962064,0.224713456509494,0.0488590586238287
"RINCAODOSSOARES_004A",2022-03-01,"bronze_bug",0.597189090962064,0.224713456509494,0.0488590586238287
"RINCAODOSSOARES_004A",2022-03-03,"bronze_bug",0.597189090962064,0.224713456509494,0.0488590586238287
"RINCAODOSSOARES_004A",2022-03-21,"bronze_bug",0.597189090962064,0.224713456509494,0.0488590586238287
"RINCAODOSSOARES_004A",2022-03-28,"bronze_bug",0.597189090962064,0.224713456509494,0.0488590586238287
"RINCAODOSSOARES_004A",2022-03-31,"bronze_bug",0.597189090962064,0.224713456509494,0.0488590586238287
"RINCAODOSSOARES_004A",2022-04-02,"bronze_bug",0.597189090962064,0.224713456509494,0.0488590586238287
"RINCAODOSSOARES_005D",2022-02-11,"healthy",0.63611995965556,0.043890271339945,0.0189149365858978
"RINCAODOSSOARES_005D",2022-02-14,"healthy",0.63611995965556,0.043890271339945,0.0189149365858978
"RINCAODOSSOARES_005D",2022-02-16,"healthy",0.63611995965556,0.043890271339945,0.0189149365858978
"RINCAODOSSOARES_005D",2022-02-19,"healthy",0.63611995965556,0.043890271339945,0.0189149365858978
"RINCAODOSSOARES_005D",2022-03-01,"healthy",0.63611995965556,0.043890271339945,0.0189149365858978
"RINCAODOSSOARES_005D",2022-03-03,"healthy",0.63611995965556,0.043890271339945,0.0189149365858978
"RINCAODOSSOARES_013A",2022-02-11,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-02-14,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-02-16,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-02-19,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-03-01,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-03-03,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-03-21,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-03-28,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-03-31,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-04-02,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-04-15,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-04-20,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-04-30,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-05-07,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
