TRAT	DAP	REP	Umidade	Condutividade	Altura	Caule	Folhas	Flor.m	Flor.f	Frutos	Bojo	Pesc	Comp.frutos	Peso.frutos				
PBRANCO	20	1	12.6	364	16.50	9.60	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	1	12.7	363	17.00	10.00	5	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	1	12.1	364	12.50	7.00	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	1	11.8	358	10.30	6.60	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	2	13.0	381	10.00	6.80	6	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	2	13.2	386	13.50	9.00	6	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	2	13.0	381	8.00	7.70	6	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	2	12.7	365	10.30	8.00	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	2	13.2	386	10.50	7.00	6	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	2	13.2	366	11.70	8.60	6	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	2	12.1	364	11.50	6.30	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	2	12.7	365	7.70	6.70	5	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	2	13.0	381	11.30	6.00	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	2	13.9	399	14.50	6.20	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	3	13.0	382	9.00	5.00	2	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	3	13.4	390	8.70	6.50	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	3	12.4	370	15.00	8.30	6	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	3	13.3	388	12.00	6.10	7	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	3	12.7	376	5.50	3.90	2	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	3	12.4	370	8.00	4.60	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	3	12.3	368	3.50	2.30	2	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	3	11.8	351	7.70	6.60	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	3	12.9	380	9.50	6.30	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	3	14.1	404	10.40	6.80	6	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	4	13.3	388	12.00	5.00	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	4	14.0	402	19.00	6.50	5	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	4	12.4	370	8.90	6.80	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	4	12.1	364	17.50	9.00	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	4	13.8	397	12.90	8.20	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	4	13.6	393	13.40	6.90	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	4	11.9	360	11.80	5.40	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	4	12.6	363	8.30	5.80	4	NA	NA	NA	NA	NA	NA	NA				
