"","long","lat"
"8597",-72.57563019,-52.32152939
"8598",-72.89944458,-52.45861816
"8599",-72.49105072,-52.31674194
"8600",-72.66656494,-51.96524429
"8601",-72.47070312,-51.93597412
"8602",-72.46890259,-51.78916931
"8603",-72.71264648,-51.58388901
"8604",-73.24250793,-51.46298599
"8605",-72.55020905,-51.73937988
"8606",-72.71973419,-51.83722687
"8607",-73.2838974,-51.61354446
"8608",-72.99736023,-51.78333282
"8609",-73.19070435,-51.87649536
"8610",-72.92695618,-51.8611145
"8611",-73.14006805,-51.94048691
"8612",-73.24076843,-52.08722305
"8613",-73.32000732,-51.72611237
"8614",-73.38066864,-51.66989517
"8615",-73.31681061,-52.1704216
"8616",-73.6491394,-51.83451462
"8617",-73.39945221,-52.01722336
"8618",-73.58670807,-51.75635529
"8619",-73.47132111,-51.69413376
"8620",-73.70035553,-51.78916931
"8621",-73.90583801,-51.62250519
"8622",-73.90480042,-51.37729263
"8623",-73.60494232,-51.62840652
"8624",-73.71166992,-51.159729
"8625",-74.08375549,-51.20903015
"8626",-74.24736786,-50.92770767
"8627",-73.85139465,-50.91667175
"8628",-73.75167084,-50.66173935
"8629",-73.53313446,-50.71423721
"8630",-73.72257996,-50.54570007
"8631",-73.5717392,-50.40434265
"8632",-74.04347992,-50.82806015
"8633",-74.28923798,-50.48048782
"8634",-73.89090729,-50.54684067
"8635",-74.69333649,-50.17743301
"8636",-74.34875488,-50.08861542
"8637",-74.20361328,-50.21778107
"8638",-73.86733246,-50.28889084
"8639",-74.37084198,-49.9920845
"8640",-73.89014435,-50.07486343
"8641",-74.32487488,-49.86778259
"8642",-74.06333923,-49.7155571
"8643",-74.29910278,-49.73910141
"8644",-74.24327087,-49.57118225
"8645",-73.94771576,-49.55923843
"8646",-73.8812561,-49.6676445
"8647",-73.72361755,-49.78916931
"8648",-73.87403107,-49.53187561
"8649",-74.12181091,-49.41375351
"8650",-74.06833649,-49.26278305
"8651",-73.91750336,-49.34722519
"8652",-73.84785461,-49.34659958
"8653",-74.02890015,-49.09305573
"8654",-73.83118439,-49.03222656
"8655",-74.04333496,-49.02194977
"8656",-74.21598053,-49.53222275
"8657",-74.37390137,-49.42750549
"8658",-74.45014191,-48.81569672
"8659",-74.06465149,-48.74368286
"8660",-74.39757538,-48.61194611
"8661",-74.04667664,-48.5477829
"8662",-74.02111816,-48.41361237
"8663",-74.65688324,-48.02972794
"8664",-74.41493988,-47.98770905
"8665",-74.21520996,-48.23180771
"8666",-74.32778168,-48.00500107
"8667",-73.77181244,-48.02972412
"8668",-73.55334473,-48.24583435
"8669",-73.34916687,-48.19750214
"8670",-73.28486633,-48.15403366
"8671",-73.27375793,-48.09333801
"8672",-73.48653412,-48.12292099
"8673",-73.65420532,-47.90909958
"8674",-73.48778534,-47.98500443
"8675",-73.22660065,-48.00302505
"8676",-73.71361542,-47.78014374
"8677",-73.72628784,-47.53139114
"8678",-73.77125549,-47.78653336
"8679",-73.93444824,-47.84694672
"8680",-74.74139404,-47.71146011
"8681",-74.56056213,-47.5509758
"8682",-74.23751068,-47.75208664
"8683",-74.25715637,-47.63291931
"8684",-74.04667664,-47.62020874
"8685",-74.52812958,-47.43431091
"8686",-74.31959534,-47.21986389
"8687",-74.10528564,-47.34750366
"8688",-73.93827057,-47.03444672
"8689",-74.26576996,-46.78757095
"8690",-74.61862183,-46.78556061
"8691",-74.50403595,-46.9030571
"8692",-75.00862122,-46.7519455
"8693",-74.94528961,-46.44271088
"8694",-75.59806824,-46.70305634
"8695",-75.41973114,-46.71520996
"8696",-75.41307068,-46.9338913
"8697",-75.71751404,-46.72528076
"8698",-74.82167053,-46.11278534
"8699",-74.67486572,-45.82680511
"8700",-74.3686142,-45.79236603
"8701",-74.11070251,-45.8358345
"8702",-74.16153717,-46.13750458
"8703",-74.05500793,-45.98479462
"8704",-73.97264862,-46.08861542
"8705",-74.31167603,-46.2491684
"8706",-74.4845047,-46.18401337
"8707",-74.3326416,-46.26542282
"8708",-74.04646301,-46.19784927
"8709",-73.86306763,-46.34750366
"8710",-74.0173645,-46.21350861
"8711",-73.89229584,-46.13875198
"8712",-73.76681519,-46.2962532
"8713",-73.99382782,-46.55931091
"8714",-73.84654236,-46.59208679
"8715",-73.42556763,-46.07444763
"8716",-73.68785095,-46.31500244
"8717",-73.66514587,-45.98048782
"8718",-73.18424225,-45.66833878
"8719",-73.57987213,-45.77826691
"8720",-73.5146637,-45.45569611
"8721",-73.2149353,-45.30146027
"8722",-73.01473236,-45.44875336
"8723",-72.82722473,-45.42250061
"8724",-73.25986481,-45.24500656
"8725",-73.45736694,-45.27555847
"8726",-73.30548859,-45.14774704
"8727",-73.39678955,-44.99451447
"8728",-73.14250183,-44.94445038
"8729",-72.76611328,-44.75333405
"8730",-72.6138916,-44.47277832
"8731",-73.28938293,-44.14687729
"8732",-72.84584045,-43.77667236
"8733",-73.042099,-43.73383713
"8734",-73.11611938,-43.44292068
"8735",-72.88500977,-43.04250336
"8736",-72.74528503,-43.04833984
"8737",-72.85694885,-42.56681061
"8738",-72.53979492,-42.5541687
"8739",-72.84902954,-42.28882217
"8740",-72.60438538,-42.18437576
"8741",-72.42146301,-42.44597244
"8742",-72.46166992,-41.97347641
"8743",-72.85945129,-41.9069519
"8744",-72.35057068,-41.65250397
"8745",-72.31001282,-41.43583679
"8746",-72.57847595,-41.70889282
"8747",-72.93583679,-41.48326874
"8748",-73.19541931,-41.78819656
"8749",-73.74555969,-41.75437546
"8750",-73.68473053,-41.62667084
"8751",-73.56285095,-41.61118317
"8752",-73.49771881,-41.51993179
"8753",-73.87111664,-41.47917175
"8754",-73.9943161,-40.96694565
"8755",-73.74542236,-40.509655
"8756",-73.71486664,-39.98167038
"8757",-73.4041748,-39.88500214
"8758",-73.22403717,-39.41687775
"8759",-73.67709351,-37.34729385
"8760",-73.58687592,-37.15256882
"8761",-73.20375824,-37.16180801
"8762",-73.12945557,-36.68250275
"8763",-72.98153687,-36.69903183
"8764",-72.79605103,-35.97507095
"8765",-72.59140015,-35.80250168
"8766",-72.64778137,-35.57403183
"8767",-72.21083832,-35.08528137
"8768",-72.01680756,-34.14437866
"8769",-71.65501404,-33.6625061
"8770",-71.7562561,-33.10541916
"8771",-71.44667053,-32.66500092
"8772",-71.69584656,-30.50666809
"8773",-71.28964996,-29.90965462
"8774",-71.51028442,-28.89500046
"8775",-70.91389465,-27.62444687
"8776",-70.9666748,-27.1791687
"8777",-70.78535461,-26.98882103
"8778",-70.63806152,-26.3013916
"8779",-70.73125458,-25.81590462
"8780",-70.43362427,-25.26028061
"8781",-70.58334351,-24.71611214
"8782",-70.39111328,-23.56194687
"8783",-70.6220932,-23.49965286
"8784",-70.57472229,-23.06694794
"8785",-70.28611755,-22.88687706
"8786",-70.05334473,-21.42565155
"8787",-70.21042633,-20.80166817
"8788",-70.12473297,-19.97444534
"8789",-70.31201935,-18.43750191
"8790",-71.30168152,-17.71166992
"8791",-71.49423981,-17.30222511
"8792",-75.0513916,-15.4659729
"8793",-75.9338913,-14.6518755
"8794",-76.39479828,-13.88416767
"8795",-76.19694519,-13.41833496
"8796",-76.79972839,-12.39027882
"8797",-77.17569733,-12.07090092
"8798",-77.30473328,-11.51097298
"8799",-77.64771271,-11.29784775
"8800",-77.67945862,-10.93416786
"8801",-78.99459076,-8.21965408
"8802",-79.37251282,-7.85277843
"8803",-79.98001099,-6.76861191
"8804",-81.17472839,-6.08666706
"8805",-81.15153503,-5.85569477
"8806",-80.93903351,-5.86013937
