"id","date","value"
43,2021-05-02,16
43,2021-05-08,37
43,2021-05-20,6
43,2021-05-25,13
44,2021-03-25,13
44,2021-03-30,33
44,2021-04-01,33
44,2021-04-11,19
44,2021-05-03,16
44,2021-05-10,6
44,2021-05-13,6
44,2021-05-16,6
44,2021-05-17,6
44,2021-05-18,6
45,2021-03-31,6
45,2021-04-01,6
45,2021-04-08,3
45,2021-04-15,4
45,2021-04-27,11
45,2021-04-28,11
45,2021-04-30,48
45,2021-05-10,18
45,2021-05-13,18
45,2021-05-19,25
45,2021-05-25,13
46,2021-04-05,22
46,2021-04-06,29
46,2021-04-15,21
46,2021-04-16,8
47,2021-04-10,5
47,2021-04-15,13
47,2021-04-16,13
47,2021-04-19,14
47,2021-04-26,3
47,2021-04-27,3
47,2021-04-29,3
47,2021-05-06,5
47,2021-05-12,7
48,2021-04-01,2
48,2021-04-10,13
48,2021-04-15,20
48,2021-04-19,5
48,2021-04-27,6
48,2021-04-28,6
48,2021-05-11,7
48,2021-05-16,19
48,2021-05-17,19
48,2021-05-20,19
48,2021-05-24,19
49,2021-04-10,21
49,2021-04-15,23
49,2021-04-21,11
49,2021-04-26,4
49,2021-05-07,7
49,2021-05-16,18
49,2021-05-21,22
49,2021-05-23,22
50,2021-04-07,8
50,2021-04-16,14
50,2021-04-21,7
50,2021-04-28,4
50,2021-04-29,4
50,2021-05-07,8
50,2021-05-14,21
50,2021-05-23,27
51,2021-05-12,21
52,2021-04-10,7
52,2021-04-16,22
52,2021-04-18,6
52,2021-04-29,7
52,2021-05-06,10
52,2021-05-14,31
52,2021-05-20,38
52,2021-05-21,38
53,2021-04-18,21
53,2021-04-21,7
53,2021-04-23,7
53,2021-04-24,7
53,2021-05-07,3
53,2021-05-09,6
53,2021-05-11,6
53,2021-05-25,8
54,2021-05-03,13
54,2021-05-09,26
54,2021-05-13,28
54,2021-05-23,4
54,2021-05-24,4
54,2021-05-25,4
55,2021-05-04,6
55,2021-05-09,15
55,2021-05-14,18
55,2021-05-15,18
55,2021-05-16,18
55,2021-05-21,33
55,2021-05-22,33
56,2021-05-11,17
56,2021-05-17,23
56,2021-05-22,20
57,2021-05-06,9
57,2021-05-17,27
58,2021-05-11,13
58,2021-05-17,8
58,2021-05-18,8
58,2021-05-23,25
59,2021-05-05,4
59,2021-05-11,14
59,2021-05-14,27
59,2021-05-19,40
60,2021-05-09,17
60,2021-05-16,13
60,2021-05-17,13
60,2021-05-20,28
61,2021-05-11,13
61,2021-05-18,8
61,2021-05-22,16
62,2021-05-06,9
62,2021-05-09,28
62,2021-05-11,28
62,2021-05-18,14
62,2021-05-24,3
63,2021-05-10,1
63,2021-05-11,1
63,2021-05-13,2
63,2021-05-14,2
63,2021-05-15,2
63,2021-05-16,2
63,2021-05-17,2
63,2021-05-18,2
63,2021-05-20,2
63,2021-05-24,6
