"STAND","ESPACAMENT","ESPECIE","IDADE","DATE_S2","NDVI_avg","NDVI_sd","NDVI_min","NDVI_max","MONTH","NDVI_ref"
"ARROIOXAVIER024B",6,"benthamii",7,"2020-07-31",0.893746518088126,0.097429504608254,-0.167247384786606,0.998859107494354,7,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2020-08-05",0.872097857921453,0.0958965676940702,0.0574443154036999,0.995633184909821,8,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2020-08-10",0.859923637339133,0.0982639027051302,0.0705313980579376,0.995604395866394,8,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2020-10-19",0.824962235478735,0.115029581855126,-0.216699793934822,0.923329710960388,10,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",8,"2020-11-23",0.853503839038119,0.088281050041442,0.150987222790718,0.937395215034485,11,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",8,"2020-12-18",0.876074973996677,0.0817311580818545,-0.208633095026016,0.965841174125671,12,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",8,"2020-12-23",0.880431470182234,0.0698135024671792,0.243064731359482,0.957507073879242,12,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",8,"2021-01-02",0.882982465000786,0.0740765330634803,0.210992902517319,0.969732224941254,1,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",8,"2021-03-13",0.892327247994462,0.0738481754217148,0.207692310214043,0.974468111991882,3,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",8,"2021-04-07",0.89318355099475,0.072805960278871,-0.0883882120251656,0.995623648166656,4,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",8,"2021-04-27",0.904933536123095,0.0738551482128116,0.309066832065582,0.998851239681244,4,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",8,"2021-05-02",0.885895591127255,0.0788899416210396,0.264534085988998,0.990491271018982,5,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",8,"2021-05-07",0.903286886084388,0.0737432385267299,0.341392248868942,0.998671114444733,5,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",8,"2021-05-12",0.919832124073676,0.0776732576122338,0.107776261866093,0.999277174472809,5,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",8,"2021-05-27",0.905829976201157,0.0815561748270676,0.22872032225132,0.999103963375092,5,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",8,"2021-07-31",0.894878591287212,0.110915575755287,-0.434052765369415,0.998993456363678,7,0.788368372584712
"ARROIOXAVIER024B",6,"benthamii",9,"2021-11-08",0.843480328409258,0.104176294507682,0.0193321611732244,0.931291997432709,11,0.683459647171441
"ARROIOXAVIER024B",6,"benthamii",9,"2021-12-28",0.864777726273403,0.101187081791136,0.216925546526909,0.9632248878479,12,0.683459647171441
"ARROIOXAVIER024B",6,"benthamii",9,"2022-01-12",0.864991324729897,0.0890417955249179,0.278985500335693,0.947145879268646,1,0.683459647171441
"ARROIOXAVIER024B",6,"benthamii",9,"2022-02-11",0.515821891289244,0.0531671412518943,0.150863289833069,0.664765596389771,2,0.683459647171441
"ARROIOXAVIER024B",6,"benthamii",9,"2022-02-16",0.533354636564356,0.0531021180957242,0.189983665943146,0.689725756645203,2,0.683459647171441
"ARROIOXAVIER024B",6,"benthamii",9,"2022-02-26",0.511172332518402,0.0535578033258859,0.223382040858269,0.673151731491089,2,0.683459647171441
