"status","NDVI","SIPI","RGI","PRI"
"healthy",0.625573579573298,0.315039475937975,0.583324598313892,0.600369458128079
"healthy",0.636532897424705,0.29944011570324,0.559545099780045,0.596074131923585
"attack",0.578622344483499,0.395672159173626,0.627082350379269,0.564347290640394
"attack",0.610139623971119,0.336683911177039,0.617124278920475,0.607063636101749
"healthy",0.621995357516181,0.364779930981966,0.584497803658031,0.528709744226986
"healthy",0.604093353488205,0.373461211847257,0.535754545972668,0.506664734859461
"healthy",0.602453095399826,0.413350556803919,0.608721043410551,0.491888907762867
"healthy",0.596079558058384,0.35347318515521,0.598895037867201,0.586345161995653
"attack",0.455582345154786,0.465063502628418,0.726031517754631,0.668332850381532
"attack",0.517212313867261,0.412147672015134,0.636068119079393,0.61489386013915
"attack",0.549570638816087,0.381323566958842,0.642640952957459,0.624733034976443
"healthy",0.580824878153762,0.326123838385885,0.539054348159466,0.594449848905079
"healthy",0.634690918431756,0.308208165544624,0.568621393257931,0.591260404280618
"healthy",0.622884672529279,0.246555704788705,0.578400797733927,0.690145976610018
"healthy",0.587269334902857,0.29074359777311,0.546817208487444,0.636699507389163
"healthy",0.587724191020078,0.319054093307701,0.587126682390862,0.631447406548826
"healthy",0.620787524817053,0.291533543924544,0.562098908322018,0.622676518883415
"healthy",0.630856572792701,0.311228188996239,0.600002193421381,0.611808521721013
"attack",0.592217093493394,0.324122020157781,0.691875448531142,0.688423645320197
"healthy",0.63526711173206,0.307808383853148,0.544237882032315,0.574270294611301
"healthy",0.668580906120263,0.331562190791999,0.499639395968953,0.463772577996716
"healthy",0.635240261014837,0.286437440729602,0.51368196074852,0.582276131992712
"attack",0.632171753247031,0.30989629316345,0.659186126228301,0.650346158966849
"attack",0.595328408026418,0.37548573213441,0.611613745977051,0.563657210803465
"attack",0.435159601608803,0.508006799684843,0.635387310762043,0.591137970761163
"healthy",0.608580211791438,0.278503258777439,0.516523842461243,0.61432340036071
"healthy",0.571474442711096,0.365338681668628,0.557904462503523,0.56809024237436
"healthy",0.589553201243707,0.307710850228382,0.547942732758773,0.616174055829228
"attack",0.611318320017569,0.336041699656184,0.647238985140484,0.625741003590215
"healthy",0.627655151755042,0.288196595007296,0.595716036073764,0.644974335104664
"healthy",0.572684530351127,0.394326772868274,0.597214754391386,0.554793672797485
"healthy",0.564388434103248,0.342624540733439,0.574916901473018,0.613500345691816
