aluno,exito,tempo,grupo,curso,tentativa,exito_tentativa,vez_exito
a15,1,03:22,GP_2,2,18,NA,4
a15,1,03:22,GP_2,2,19,NA,4
a15,1,03:22,GP_2,2,20,NA,4
a15,1,03:22,GP_2,2,21,NA,4
a15,1,03:22,GP_2,2,22,NA,4
a15,1,03:22,GP_2,2,23,NA,4
a15,1,03:22,GP_2,2,24,NA,4
a18,0,03:00,GP_2,2,1,0,0
a18,0,03:00,GP_2,2,2,0,0
a18,0,03:00,GP_2,2,3,0,0
a18,0,03:00,GP_2,2,4,0,0
a18,0,03:00,GP_2,2,5,0,0
a18,0,03:00,GP_2,2,6,0,0
a18,0,03:00,GP_2,2,7,0,0
a18,0,03:00,GP_2,2,8,0,0
a18,0,03:00,GP_2,2,9,0,0
a18,0,03:00,GP_2,2,10,0,0
a18,0,03:00,GP_2,2,11,0,0
a18,0,03:00,GP_2,2,12,0,0
a18,0,03:00,GP_2,2,13,0,0
a18,0,03:00,GP_2,2,14,0,0
a18,0,03:00,GP_2,2,15,0,0
a18,0,03:00,GP_2,2,16,NA,0
a18,0,03:00,GP_2,2,17,NA,0
a18,0,03:00,GP_2,2,18,NA,0
a18,0,03:00,GP_2,2,19,NA,0
a18,0,03:00,GP_2,2,20,NA,0
a18,0,03:00,GP_2,2,21,NA,0
a18,0,03:00,GP_2,2,22,NA,0
a18,0,03:00,GP_2,2,23,NA,0
a18,0,03:00,GP_2,2,24,NA,0
a19,1,01:22,GP_1,3,1,0,15
a19,1,01:22,GP_1,3,2,0,15
a19,1,01:22,GP_1,3,3,0,15
a19,1,01:22,GP_1,3,4,0,15
a19,1,01:22,GP_1,3,5,0,15
a19,1,01:22,GP_1,3,6,0,15
a19,1,01:22,GP_1,3,7,0,15
a19,1,01:22,GP_1,3,8,0,15
a19,1,01:22,GP_1,3,9,0,15
a19,1,01:22,GP_1,3,10,0,15
a19,1,01:22,GP_1,3,11,0,15
a19,1,01:22,GP_1,3,12,0,15
a19,1,01:22,GP_1,3,13,0,15
a19,1,01:22,GP_1,3,14,0,15
a19,1,01:22,GP_1,3,15,1,15
a19,1,01:22,GP_1,3,16,0,15
a19,1,01:22,GP_1,3,17,1,15
a19,1,01:22,GP_1,3,18,1,15
a19,1,01:22,GP_1,3,19,0,15
