classe,x,y,cive,exg,exgr,exr,gli,iaf,ngrdi,ri,tgi,varig,vdvi,r,g,b
2,4.994.266.453,7.655.678.942,0.441418198,0.540924927,0.37433403,0.407435829,0.667237656,0.869303092,0.463498267,0.536501732,0.852775906,0.484535518,0.752067607,0.372757717,0.357456583,0.351645714
2,4.994.259.735,7.655.679.153,0.518219565,0.468962936,0.437753531,0.417323417,0.600461547,0.837865139,0.450853763,0.549146236,0.83589548,0.4593144,0.739815707,0.427305082,0.398275431,0.409198092
2,4.994.252.425,7655679.49,0.574592837,0.419930247,0.508301737,0.450784576,0.486262768,0.862438241,0.425657341,0.574342658,0.764572193,0.406888344,0.724657158,0.452451956,0.377884264,0.367010848
1,4.994.243.337,7.655.679.721,0.50819042,0.491394197,0.517655001,0.355341332,0.506583371,0.850765522,0.436422424,0.563577576,0.735499894,0.425442361,0.748960023,0.487041887,0.433060846,0.384699402
2,4.994.236.224,7655680.08,0.481979469,0.524344828,0.554230422,0.384758432,0.494625949,0.826241402,0.443867789,0.55613221,0.682154241,0.438383073,0.766773046,0.54188697,0.49990912,0.424569075
1,4.994.229.507,7.655.680.375,0.409581126,0.580547839,0.415561851,0.485020913,0.64538618,0.856498993,0.464113244,0.535886755,0.825085445,0.483023324,0.772578905,0.427048585,0.418862897,0.376805079
1,4.994.222.197,7.655.680.648,0.444166222,0.545155082,0.42420428,0.484766635,0.645123546,0.832686649,0.463282793,0.536717205,0.847715361,0.482830012,0.764836252,0.442421046,0.439127082,0.420812126
2,4.994.214.491,7.655.680.964,0.469553613,0.515574953,0.403959166,0.367325624,0.624880065,0.872881007,0.453549927,0.546450072,0.84026071,0.465110125,0.745900193,0.388296116,0.358113058,0.34908723
1,4.994.207.576,7655681.28,0.515603176,0.471501343,0.436256251,0.39091528,0.60368945,0.837138845,0.453531172,0.546468828,0.834871239,0.465081857,0.74254794,0.427477639,0.400016064,0.410795432
2,4.994.195.327,7.655.681.723,0.460950117,0.518819648,0.364685387,0.482656184,0.679307495,0.863219895,0.466620454,0.533379546,0.868560048,0.491867949,0.746744396,0.366268335,0.354597162,0.369274734
2,4.994.186.436,7.655.681.933,0.570543156,0.411684289,0.423481854,0.47855909,0.584192952,0.8572337,0.442070637,0.557929362,0.852571635,0.445147751,0.716754383,0.38749728,0.338104494,0.378934324
2,4.994.177.347,7.655.682.313,0.517133306,0.461740883,0.379795746,0.409754708,0.637768422,0.866716284,0.452963182,0.547036817,0.865676343,0.466697026,0.725066365,0.356669527,0.322480553,0.355207523
2,4.994.169.247,7.655.682.629,0.52660743,0.459379324,0.432987473,0.407416391,0.606161004,0.832997045,0.451966275,0.548033724,0.84756376,0.462616759,0.737890887,0.423857432,0.396414583,0.416433138
1,4.994.163.254,7.655.682.886,0.53119043,0.448952018,0.394463972,0,0.632754286,0.84511324,0.453227992,0.546772006,0.869697668,0.467321444,0.724598294,0.378546337,0.34907037,0.388242542
2,4.994.158.808,7.655.683.092,0.549316967,0.424705995,0.358173668,0,0.627977468,0.889397077,0.443236559,0.556763439,0.874444733,0.450415186,0.700377786,0.309431872,0.255527333,0.307673543
1,4.994.151.103,7.655.683.329,0.554528472,0.425895101,0.404298034,0,0.591754117,0.875115925,0.439748561,0.560251437,0.85898725,0.441144539,0.714014564,0.359805456,0.305032208,0.339619826
2,4.994.144.287,7655683.55,0.561190343,0.424089906,0.44155341,0.411352112,0.588662427,0.833490733,0.447934423,0.552065577,0.857290769,0.455974963,0.729305123,0.423777178,0.388135907,0.423318709
1,4.994.137.619,7.655.683.834,0.51237714,0.474109298,0.430728051,0.448811308,0.608536053,0.844717098,0.454452217,0.545547782,0.846280966,0.466667343,0.7448229,0.421842256,0.394827314,0.406101417
2,4.994.131.395,7.655.684.024,0.454278372,0.528376997,0.381847259,0,0.665692672,0.860076025,0.464456506,0.535543493,0.8615356,0.486937628,0.752118319,0.384878171,0.372770416,0.374766105
2,4.994.123.838,7655684.34,0.451701696,0.533314805,0.397378613,0,0.660743265,0.847806255,0.465779126,0.534220874,0.847861964,0.489097267,0.755870385,0.408310467,0.401421484,0.398074809
2,4.994.117.022,7.655.684.577,0.407378061,0.576362491,0.37233347,0.35881891,0.715376071,0.834948892,0.477777013,0.522222986,0.87732148,0.512202809,0.771435371,0.411771048,0.431600528,0.425784377
2,4.994.105.019,7.655.685.098,0.539973344,0.447371551,0.446739429,0.445258368,0.573701775,0.853058045,0.445440337,0.554559662,0.826936576,0.44897078,0.734539928,0.419697269,0.375658576,0.388027212
2,4.994.097.907,7.655.685.382,0.563662486,0.428185916,0.48714404,0.415271038,0.539649172,0.83361259,0.441472562,0.558527437,0.810210761,0.440193183,0.735374018,0.461908734,0.415477483,0.424881732
1,499.409.272,7.655.685.556,0.55216552,0.439669166,0.482697196,0.427863521,0.549211881,0.83288465,0.444187824,0.555812176,0.811889591,0.445520105,0.738924664,0.462398668,0.420605312,0.426942704
2,4.994.077.161,7.655.686.267,0.566627602,0.427232048,0.501689036,0.357415142,0.517343484,0.837417269,0.439100142,0.560899858,0.771101371,0.434436695,0.734669297,0.468189136,0.413302707,0.412720299
1,4.994.064.136,7.655.686.668,0.599292963,0.390091792,0.48374572,0.432305977,0.524887478,0.84246304,0.436445414,0.563554585,0.81594589,0.431530539,0.723421137,0.442826477,0.383366202,0.410855741
2,499.405.327,7.655.687.258,0.506546665,0.476912025,0.406830833,0.441449564,0.611036363,0.871763161,0.450012258,0.549987742,0.841784664,0.459052117,0.734662304,0.381280896,0.342396678,0.352455487
1,4.994.042.601,7.655.687.679,0.443212705,0.537226579,0.362406071,0.46617089,0.686667663,0.863100541,0.46679242,0.533207579,0.876272817,0.492143106,0.751903972,0.368641811,0.361155717,0.367095454
2,4.994.029.363,7.655.688.269,0,0,0,0.448525862,0,0,0,0,0,0,0,0,0,0
2,4.994.024.424,7.655.688.395,0,0,0,0.441810392,0,0,0,0,0,0,0,0,0,0
2,4.993.984.712,7.655.689.975,0.638994881,0.35728822,0.547294258,0.433709866,0.477794152,0.805439393,0.436102494,0.563897506,0.787532897,0.430029977,0.728320748,0.514975696,0.456657832,0.484435695
2,4.993.966.535,7.655.690.713,0.457937236,0.521338513,0.360331887,0.418288095,0.68849241,0.861393916,0.468449956,0.531550044,0.878907845,0.495902366,0.748319668,0.366609189,0.359360331,0.376772142
2,4.993.954.109,7.655.691.307,0.548271901,0.445363307,0.493424666,0.450785147,0.538686668,0.834667733,0.442980346,0.557019653,0.803248183,0.442479793,0.741515425,0.472254002,0.42867389,0.426283455
2,4.993.949.071,7.655.691.465,0.542514469,0.451331159,0.492416987,0.456195871,0.536343848,0.840919392,0.441742948,0.558257049,0.798264772,0.439248394,0.742101788,0.468341894,0.422385822,0.414822461
1,4.993.935.883,7655691.97,0.5019467,0.487634447,0.447476718,0.440558158,0.587579956,0.851048473,0.448932327,0.551067672,0.827181468,0.454600284,0.746242129,0.433208765,0.399979497,0.392304531
2,4.993.931.734,7.655.692.223,0.489143098,0.498176266,0.426730293,0.44443458,0.603027799,0.865307233,0.450554124,0.549445875,0.836329911,0.45841714,0.745908938,0.409722464,0.37617812,0.368558357
2,4.993.920.028,7.655.692.713,0.454372575,0.522019826,0.338600878,0.481112519,0.69520729,0.878275598,0.468934592,0.531065408,0.879478973,0.496714952,0.744674152,0.333637102,0.318927588,0.338652193
1,4.993.914.101,7.655.693.045,0.477393921,0.499804587,0.353399599,0.492913452,0.683444948,0.863778816,0.466659907,0.533340091,0.879274118,0.493081968,0.738317147,0.349814207,0.334838791,0.363998192
1,4.993.909.507,7655693.14,0.474529401,0.502694747,0.352564159,0.47910697,0.687232623,0.861110994,0.467771763,0.532228235,0.879972556,0.49524713,0.738888358,0.351680655,0.339088021,0.368168552
2,4.993.936.782,7.655.698.924,0.60602219,0.375013886,0.427884741,0.483061249,0.543277842,0.881966974,0.426744515,0.573255485,0.840452578,0.416195109,0.696071612,0.359206262,0.281536127,0.326818441
2,4.993.945.821,7.655.698.655,0.590585616,0.397266654,0.469356487,0.407466242,0.528435619,0.853304282,0.431665024,0.568334975,0.821648495,0.422418947,0.717577635,0.420186527,0.355098404,0.379189702
2,4.993.953.082,7.655.698.387,0.543274656,0.446117075,0.461451241,0.480263473,0.546505015,0.866377762,0.437022418,0.562977581,0.815681359,0.431743401,0.730710278,0.421914172,0.365800655,0.365963871
1,4.993.964.195,7.655.697.881,0.397798639,0.593247928,0.41840788,0.453764825,0.671642433,0.829336174,0.470521662,0.529478337,0.845380993,0.496374599,0.77814394,0.455447207,0.468750478,0.431242702
2,4.993.987.015,7.655.696.949,0.661995027,0.349296875,0.657668826,0,0.343292499,0.812692791,0.419183468,0.580816528,0.61337918,0.3893554,0.731516132,0.593380903,0.497091078,0.466666672
1,4.994.000.796,7.655.696.586,0.482054624,0.508487165,0.446149588,0,0.590020541,0.856448863,0.452535929,0.547464071,0.801724638,0.461183726,0.752351801,0.432948141,0.40075647,0.380326615
2,4.994.006.427,7.655.696.222,0.399718772,0.584777751,0.372685617,0.399001901,0.675436766,0.877563202,0.468411366,0.531588634,0.841903281,0.492441306,0.768575179,0.376898929,0.366689844,0.335552166
1,4.994.013.391,7.655.696.049,0.435461408,0.549675204,0.390601407,0.399001901,0.642069952,0.881189989,0.458277443,0.541722556,0.839431678,0.472436724,0.757559821,0.379470205,0.35444721,0.330751201
2,4.994.030.876,7.655.695.322,0.620134903,0.377113273,0.544286823,0,0.433881296,0.863549215,0.418764721,0.581235277,0.726624349,0.391877157,0.718575549,0.470532968,0.377212846,0.370007837
2,4.994.037.989,7.655.695.085,0.60611157,0.390005031,0.531815956,0,0.465044162,0.846579266,0.426296457,0.573703542,0.751338449,0.408188995,0.723909813,0.475829107,0.398856562,0.398100483
2,4.994.047.324,7.655.694.642,0.470449786,0.516578072,0.416497415,0,0.595151478,0.889259995,0.445840185,0.554159813,0.822528594,0.447878259,0.746157164,0.384315404,0.338841305,0.314771409
2,4.994.054.585,7.655.694.374,0.539550453,0.453264508,0.482584703,0,0.509324097,0.879375819,0.427968945,0.572031053,0.773457915,0.409608593,0.731303563,0.426704641,0.354613603,0.33217132
