"","simulation","distance","radius","error","tpvalue","sensitivity","specificity","accuracy","model","sill","range","sderror","stand"
"19705",85,95,20,0.3649755,8.175076e-18,1,1,1,7,0.2193074,15.25728,0.0006168418,"stand3"
"19706",85,100,10,0.6301146,2.131791e-56,1,1,1,7,0.1873843,17.18416,1.758972e-06,"stand3"
"19707",85,100,12.5,0.9116203,2.69458e-137,1,1,1,7,0.3037519,21.58308,0.0003357625,"stand3"
"19708",85,100,15,0.1456628,0.0009269587,1,1,1,7,0.2556493,63.12586,0.0002174404,"stand3"
"19709",85,100,17.5,-0.09001637,0.04548185,1,1,1,4,0.3118381,12.32941,0.0002504545,"stand3"
"19710",85,100,20,-0.07201309,0.1091245,1,1,1,7,0.1464927,21.18177,0.0002979265,"stand3"
"19711",86,20,10,0.0507365,0.2538971,1,1,1,3,0.2188329,37.63018,0.0003586835,"stand3"
"19712",86,20,12.5,0.008183306,0.8545942,1,1,1,7,0.2271141,17.85476,0.001211004,"stand3"
"19713",86,20,15,0.03436989,0.4403421,1,1,1,7,0.2229356,17.03611,0.001182631,"stand3"
"19714",86,20,17.5,0.004909984,0.9124705,1,1,1,7,0.2252228,17.16075,0.001271081,"stand3"
"19715",86,20,20,0.001636661,0.97078,1,1,1,7,0.2246081,17.96,0.001915997,"stand3"
"19716",86,25,10,0.02291326,0.6073657,1,1,1,7,0.2299877,16.09609,0.0002863536,"stand3"
"19717",86,25,12.5,0.1571195,0.0003467243,1,1,1,7,0.2204441,15.07202,0.0001376871,"stand3"
"19718",86,25,15,-0.01636661,0.7145733,1,1,1,7,0.2245642,15.38205,0.0004862484,"stand3"
"19719",86,25,17.5,0.01636661,0.7137692,1,1,1,7,0.2089717,19.05443,0.0009743989,"stand3"
"19720",86,25,20,0.03109656,0.4852374,1,1,1,7,0.2249473,17.19403,0.001425538,"stand3"
"19721",86,30,10,-0.06055646,0.1775348,1,1,1,7,0.2279138,20.42481,0.0006239892,"stand3"
"19722",86,30,12.5,0.1260229,0.004260777,1,1,1,3,0.2056985,38.37584,0.0003320544,"stand3"
"19723",86,30,15,0.05237316,0.2388213,1,1,1,7,0.2041279,17.66988,0.0005005657,"stand3"
"19724",86,30,17.5,-0.008183306,0.8548056,1,1,1,3,0.2225026,36.51032,0.001348168,"stand3"
"19725",86,30,20,-0.02291326,0.6088435,1,1,1,7,0.2306726,17.05188,0.001416929,"stand3"
"19726",86,35,10,-0.1309329,0.003708689,1,1,1,7,0.1287357,41.96132,1.217146e-05,"stand3"
"19727",86,35,12.5,0.1129296,0.0105533,1,1,1,7,0.1906361,20.93379,0.001326265,"stand3"
