"STAND","COMPANY","SPACING","SPECIES","AGE","STATS","NDVI"
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.936696340257171
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.829735625108731
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.081021574470109
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.267418712674187
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MAX",0.929876543209877
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MEAN",0.813453545237423
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"SD",0.0825347425316225
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MIN",0.255663430420712
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MAX",0.922730504858971
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.847413474541745
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.0803178428977714
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.281993204983012
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",0.949487371842961
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.825912600578551
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.0770803573158704
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.269272529858849
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",0.928422996998384
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.818427644798449
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.0781798687821715
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.274553571428571
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",0.925689537269204
